seed,backbone,method,kstar
42,B_blind,BASE,
42,B_blind,SIT,0.5
42,B_blind,Steck-b,1.0
42,B_blind,UNI_mean,0.05
42,B_blind,UNI_glob,2.0
42,B_full,BASE,
42,B_full,SIT,0.5
42,B_full,Steck-b,0.5
42,B_full,UNI_mean,0.05
42,B_full,UNI_glob,2.0
42,EASE,BASE,
42,EASE,SIT,0.1
42,EASE,Steck-b,0.1
42,EASE,UNI_mean,0.05
42,EASE,UNI_glob,0.5
42,SASRec,BASE,
42,SASRec,SIT,0.25
42,SASRec,Steck-b,0.5
42,SASRec,UNI_mean,0.1
42,SASRec,UNI_glob,0.75
42,FPMC,BASE,
42,FPMC,SIT,0.25
42,FPMC,Steck-b,0.5
42,FPMC,UNI_mean,0.25
42,FPMC,UNI_glob,1.0
42,DeepFM,BASE,
42,DeepFM,SIT,1.5
42,DeepFM,Steck-b,1.0
42,DeepFM,UNI_mean,0.05
42,DeepFM,UNI_glob,2.0
42,AFM,BASE,
42,AFM,SIT,1.0
42,AFM,Steck-b,1.5
42,AFM,UNI_mean,0.05
42,AFM,UNI_glob,2.0
42,B_blind,Steck-a,
42,EASE,Steck-a,
42,SASRec,Steck-a,
42,FPMC,Steck-a,
42,DeepFM,Steck-a,
42,AFM,Steck-a,
43,B_blind,BASE,
43,B_blind,SIT,0.5
43,B_blind,Steck-b,1.0
43,B_blind,UNI_mean,0.05
43,B_blind,UNI_glob,2.0
43,B_full,BASE,
43,B_full,SIT,0.25
43,B_full,Steck-b,0.5
43,B_full,UNI_mean,0.05
43,B_full,UNI_glob,2.0
43,EASE,BASE,
43,EASE,SIT,0.1
43,EASE,Steck-b,0.1
43,EASE,UNI_mean,0.05
43,EASE,UNI_glob,0.5
43,SASRec,BASE,
43,SASRec,SIT,0.25
43,SASRec,Steck-b,0.5
43,SASRec,UNI_mean,0.1
43,SASRec,UNI_glob,0.75
43,FPMC,BASE,
43,FPMC,SIT,0.25
43,FPMC,Steck-b,0.5
43,FPMC,UNI_mean,0.25
43,FPMC,UNI_glob,1.0
43,DeepFM,BASE,
43,DeepFM,SIT,0.5
43,DeepFM,Steck-b,1.0
43,DeepFM,UNI_mean,0.05
43,DeepFM,UNI_glob,2.0
43,AFM,BASE,
43,AFM,SIT,1.0
43,AFM,Steck-b,1.5
43,AFM,UNI_mean,0.05
43,AFM,UNI_glob,2.0
43,B_blind,Steck-a,
43,EASE,Steck-a,
43,SASRec,Steck-a,
43,FPMC,Steck-a,
43,DeepFM,Steck-a,
43,AFM,Steck-a,
44,B_blind,BASE,
44,B_blind,SIT,0.5
44,B_blind,Steck-b,1.0
44,B_blind,UNI_mean,0.05
44,B_blind,UNI_glob,2.0
44,B_full,BASE,
44,B_full,SIT,0.5
44,B_full,Steck-b,0.75
44,B_full,UNI_mean,0.75
44,B_full,UNI_glob,2.0
44,EASE,BASE,
44,EASE,SIT,0.1
44,EASE,Steck-b,0.1
44,EASE,UNI_mean,0.05
44,EASE,UNI_glob,0.5
44,SASRec,BASE,
44,SASRec,SIT,0.25
44,SASRec,Steck-b,0.5
44,SASRec,UNI_mean,0.05
44,SASRec,UNI_glob,0.75
44,FPMC,BASE,
44,FPMC,SIT,0.25
44,FPMC,Steck-b,0.5
44,FPMC,UNI_mean,0.1
44,FPMC,UNI_glob,1.0
44,DeepFM,BASE,
44,DeepFM,SIT,0.5
44,DeepFM,Steck-b,0.75
44,DeepFM,UNI_mean,0.05
44,DeepFM,UNI_glob,2.0
44,AFM,BASE,
44,AFM,SIT,1.0
44,AFM,Steck-b,1.5
44,AFM,UNI_mean,1.5
44,AFM,UNI_glob,2.0
44,B_blind,Steck-a,
44,EASE,Steck-a,
44,SASRec,Steck-a,
44,FPMC,Steck-a,
44,DeepFM,Steck-a,
44,AFM,Steck-a,
45,B_blind,BASE,
45,B_blind,SIT,0.5
45,B_blind,Steck-b,1.0
45,B_blind,UNI_mean,0.05
45,B_blind,UNI_glob,2.0
45,B_full,BASE,
45,B_full,SIT,0.5
45,B_full,Steck-b,0.75
45,B_full,UNI_mean,0.1
45,B_full,UNI_glob,2.0
45,EASE,BASE,
45,EASE,SIT,0.05
45,EASE,Steck-b,0.1
45,EASE,UNI_mean,0.05
45,EASE,UNI_glob,0.5
45,SASRec,BASE,
45,SASRec,SIT,0.25
45,SASRec,Steck-b,0.5
45,SASRec,UNI_mean,0.1
45,SASRec,UNI_glob,0.75
45,FPMC,BASE,
45,FPMC,SIT,0.25
45,FPMC,Steck-b,0.5
45,FPMC,UNI_mean,0.25
45,FPMC,UNI_glob,1.0
45,DeepFM,BASE,
45,DeepFM,SIT,0.25
45,DeepFM,Steck-b,1.0
45,DeepFM,UNI_mean,0.05
45,DeepFM,UNI_glob,2.0
45,AFM,BASE,
45,AFM,SIT,1.0
45,AFM,Steck-b,1.5
45,AFM,UNI_mean,0.1
45,AFM,UNI_glob,2.0
45,B_blind,Steck-a,
45,EASE,Steck-a,
45,SASRec,Steck-a,
45,FPMC,Steck-a,
45,DeepFM,Steck-a,
45,AFM,Steck-a,
46,B_blind,BASE,
46,B_blind,SIT,0.5
46,B_blind,Steck-b,1.0
46,B_blind,UNI_mean,0.05
46,B_blind,UNI_glob,2.0
46,B_full,BASE,
46,B_full,SIT,0.25
46,B_full,Steck-b,0.75
46,B_full,UNI_mean,0.05
46,B_full,UNI_glob,2.0
46,EASE,BASE,
46,EASE,SIT,0.1
46,EASE,Steck-b,0.1
46,EASE,UNI_mean,0.05
46,EASE,UNI_glob,0.5
46,SASRec,BASE,
46,SASRec,SIT,0.25
46,SASRec,Steck-b,0.5
46,SASRec,UNI_mean,0.25
46,SASRec,UNI_glob,0.75
46,FPMC,BASE,
46,FPMC,SIT,0.25
46,FPMC,Steck-b,0.5
46,FPMC,UNI_mean,0.25
46,FPMC,UNI_glob,1.0
46,DeepFM,BASE,
46,DeepFM,SIT,0.5
46,DeepFM,Steck-b,1.0
46,DeepFM,UNI_mean,0.05
46,DeepFM,UNI_glob,2.0
46,AFM,BASE,
46,AFM,SIT,2.0
46,AFM,Steck-b,2.0
46,AFM,UNI_mean,0.05
46,AFM,UNI_glob,2.0
46,B_blind,Steck-a,
46,EASE,Steck-a,
46,SASRec,Steck-a,
46,FPMC,Steck-a,
46,DeepFM,Steck-a,
46,AFM,Steck-a,
